tinh_id,district_num,id_district,Province,Region,goodroadv,agrext,tapwater,lnarea,lnpopden,city,treatment,year
26,11,104d11,Vinh Phuc,Red River Delta,1,0,0,2.0028305053710938,5.657283782958984,0,0,2006
26,11,104d11,Vinh Phuc,Red River Delta,1,0,0,2.577941417694092,5.332282066345215,0,0,2006
26,11,104d11,Vinh Phuc,Red River Delta,1,0,0,2.6217658519744873,5.6317219734191895,0,0,2006
26,11,104d11,Vinh Phuc,Red River Delta,1,0,0,2.042518138885498,5.756824970245361,0,0,2006
26,11,104d11,Vinh Phuc,Red River Delta,1,1,0,2.530517101287842,5.589774131774902,0,0,2006
1,1,105d1,Ha Noi,Red River Delta,1,0,0,0.9932518005371094,6.227853298187256,0,0,2006
1,1,105d1,Ha Noi,Red River Delta,1,0,0,1.937301754951477,6.364468097686768,0,0,2006
1,1,105d1,Ha Noi,Red River Delta,1,0,0,1.479329228401184,6.480645179748535,0,0,2006
1,3,105d3,Ha Noi,Red River Delta,1,0,1,2.6837575435638428,4.465373992919922,0,0,2006
1,3,105d3,Ha Noi,Red River Delta,1,0,0,2.998727798461914,4.830902576446533,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,1,0,0,1.2837077379226685,5.704705238342285,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,1,0,0,2.51446533203125,4.6948747634887695,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,1,0,0,3.281662940979004,4.493192672729492,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,0,0,0,2.222459077835083,4.880040168762207,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,1,1,0,1.7613003253936768,5.633807182312012,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,1,1,0,1.7578579187393188,5.891834735870361,0,0,2006
1,5,105d5,Ha Noi,Red River Delta,0,0,0,3.0605833530426025,5.08612585067749,0,0,2006
1,7,105d7,Ha Noi,Red River Delta,1,0,0,1.8976198434829712,5.695754528045654,0,0,2006
1,7,105d7,Ha Noi,Red River Delta,1,0,0,1.8531681299209595,5.651773929595947,0,0,2006
1,7,105d7,Ha Noi,Red River Delta,1,0,0,1.5953389406204224,5.612520694732666,0,0,2006
1,7,105d7,Ha Noi,Red River Delta,1,0,0,1.818076729774475,6.190953731536865,0,0,2006
1,9,105d9,Ha Noi,Red River Delta,1,0,0,1.7119945287704468,6.409188747406006,0,0,2006
1,9,105d9,Ha Noi,Red River Delta,1,0,1,1.425515055656433,5.906199932098389,0,0,2006
1,9,105d9,Ha Noi,Red River Delta,1,0,0,1.2641266584396362,6.074761390686035,0,0,2006
1,9,105d9,Ha Noi,Red River Delta,1,0,0,1.0116009712219238,6.2935872077941895,0,0,2006
1,11,105d11,Ha Noi,Red River Delta,1,0,0,2.057962417602539,5.43757963180542,0,0,2006
1,11,105d11,Ha Noi,Red River Delta,1,0,0,1.1442228555679321,6.04871129989624,0,0,2006
1,11,105d11,Ha Noi,Red River Delta,1,1,0,1.1878434419631958,6.064210414886475,0,0,2006
1,11,105d11,Ha Noi,Red River Delta,1,0,0,1.5496878623962402,5.960742473602295,0,0,2006
1,13,105d13,Ha Noi,Red River Delta,1,0,0,1.4134230613708496,6.595274925231934,0,0,2006
1,13,105d13,Ha Noi,Red River Delta,1,0,0,1.4109869003295898,6.48668098449707,0,0,2006
1,13,105d13,Ha Noi,Red River Delta,1,0,0,2.030776262283325,5.901944637298584,0,0,2006
1,13,105d13,Ha Noi,Red River Delta,1,1,0,1.4906543493270874,5.863068103790283,0,0,2006
1,13,105d13,Ha Noi,Red River Delta,1,0,0,1.3217558860778809,6.333634853363037,0,0,2006
1,13,105d13,Ha Noi,Red River Delta,1,0,0,1.1817271709442139,6.285072326660156,0,0,2006
1,15,105d15,Ha Noi,Red River Delta,1,0,0,1.4632554054260254,5.8297624588012695,0,0,2006
